"date","show","theatre","city","seat","rating","cast_vibe","music_vibe","stage_magic","story_feel","price","note"
"2026-02-12","Monty Python's Spamalot","The 5th Avenue Theatre","Seattle, WA","Row U, Seats 19, 21 & 23","3","3","3","4","2","$49",""
"2026-03-08","The Notebook","Paramount Theatre","Seattle, WA","","3","3","3","3","3","$40",""
"2026-05-09","Jesus Christ Superstar","The 5th Avenue Theatre","Seattle, WA","Zone 3 Orchestra, Row W, Seats 12 & 14","2.5","1","4","2","3","$49",""
"2026-06-01","Disney's Hercules","Theatre Royal Drury Lane","London, UK","Royal Circle, Seat D37","3.25","3","4","4","2","£29.50",""
"2026-06-02","My Neighbour Totoro","Gillian Lynne Theatre","London, UK","","3.25","3","3","4","3","£30.00",""
"2026-06-03","Cabaret","Kit Kat Club","London, UK","Stalls, Seat F19","4","4","4","4","4","£65.00",""
"2026-06-03","The Phantom of the Opera","His Majesty's Theatre","London, UK","","4","5","4","4","3","£37.50",""
"2026-06-05","Harry Potter and the Cursed Child: Both Parts","Palace Theatre","London, UK","Stalls, Seat BB17","4.333333333","4","NA","5","4","£40.00",""
"2026-06-06","Romeo & Juliet","Harold Pinter Theatre","London, UK","Dress Circle A1","3.25","3","4","4","2","£1.00",""
"2026-06-07","Come Alive! The Greatest Showman Circus Spectacular","Empress Museum","London, UK","","3","3","4","4","1","£30.00",""
"2026-06-08","Les Miserables","Sondheim Theatre","London, UK","","4.5","4","5","5","4","£42.50",""
"2026-06-09","Operation Mincemeat","Fortune Theatre","London, UK","Stalls AA5","4.75","4","5","5","5","£50.00",""
"2026-06-09","Witness for the Prosecution","London County Hall","London, UK","","4.333333333","4","NA","4","5","£25.00",""
"2026-06-10","Matilda The Musical","Cambridge Theatre","London, UK","Stalls B19","2.25","2","2","3","2","£40.00",""
"2026-06-10","The Mousetrap","St Martin's Theatre","London, UK","Orchestra Stalls, Row H, Seat 20","3.333333333","4","NA","3","3","£25.00",""
"2026-08-19","Freak the Mighty","Bagley Wright Theater","Seattle, WA","Section 2, Row N, Seats 1 & 2","3","3","3","3","3","$49",""
